,name,album,artist,popularity,danceability
0,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,100,0.677
1,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,90,0.702
2,Leave The Door Open,Leave The Door Open,Bruno Mars,96,0.586
3,Up,Up,Cardi B,91,0.868
4,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,90,0.84
5,Streets,Hot Pink,Doja Cat,93,0.749
6,you broke me first,you broke me first,Tate McRae,90,0.667
7,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,88,0.7
8,positions,Positions,Ariana Grande,91,0.737
9,34+35,Positions,Ariana Grande,89,0.83
10,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,95,0.61
11,Body,Good News,Megan Thee Stallion,83,0.914
12,Hold On,Justice,Justin Bieber,87,0.658
13,Good Days,Good Days,SZA,91,0.436
14,Baby,Life Support,Madison Beer,69,0.705
15,I Am (feat. Flo Milli),I Am (feat. Flo Milli),Yung Baby Tate,63,0.929
16,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,89,0.709
17,Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over (Expanded Edition),Demi Lovato,71,0.538
18,Fuck Up the Friendship,Fuck Up the Friendship,Leah Kate,71,0.745
19,Motive X Promiscuous,Motive X Promiscuous,lil kudo,67,0.785
20,pov,Positions,Ariana Grande,81,0.487
21,Monster (Shawn Mendes & Justin Bieber),Wonder,Shawn Mendes,78,0.64
22,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,92,0.762
23,Cry Baby (feat. DaBaby),Good News,Megan Thee Stallion,82,0.957
24,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,88,0.935
25,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Positions (Deluxe),Ariana Grande,71,0.659
26,Blinding Lights,After Hours,The Weeknd,95,0.514
27,drivers license,drivers license,Olivia Rodrigo,97,0.585
28,Pink + White,Blonde,Frank Ocean,79,0.544
29,I Wanna Know (feat. Bea Miller),I Wanna Know (feat. Bea Miller),NOTD,70,0.661
30,Lonely,Lonely,Diplo,6,0.738
31,Midnight (feat. Liam Payne),Midnight (feat. Liam Payne),Alesso,77,0.587
32,I Don't Know Why,I Don't Know Why,NOTD,74,0.499
33,Broken Glass,Golden Hour,Kygo,68,0.526
34,I'm Not Alright,I'm Not Alright,Loud Luxury,47,0.876
35,Post Malone (feat. RANI),Magnets EP,Sam Feldt,75,0.59
36,The Middle,The Middle,Zedd,3,0.748
37,Not Ok,Not Ok,Kygo,63,0.618
38,Better Not (feat. Wafia) - Shaun Frank Remix,Better Not (Remixes),Louis The Child,45,0.73
39,Wanted,Wanted,OneRepublic,64,0.668
40,Truth Hurts,Truth Hurts,Lizzo,0,0.715
41,"Baby, I'm Jealous (feat. Doja Cat)","Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,76,0.737
42,Put Your Records On,Put Your Records On,Ritt Momney,86,0.399
43,motive (with Doja Cat),Positions,Ariana Grande,81,0.789
44,Obsessed,Obsessed,Addison Rae,75,0.884
45,BOYSHIT,Life Support,Madison Beer,66,0.638
46,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),Boys Ain't Shit (feat. Tate McRae & Audrey Mika),SAYGRACE,66,0.801
47,NOW,NOW,Olivia O'Brien,64,0.765
48,Prisoner (feat. Dua Lipa),Plastic Hearts,Miley Cyrus,81,0.781
49,Used To,Used To,SAYGRACE,57,0.711
50,rubberband,rubberband,Tate McRae,75,0.64
51,Bitter,Bitter,FLETCHER,75,0.724
52,deja vu,deja vu,Olivia Rodrigo,92,0.439
53,Vibez,Nobody Is Listening,ZAYN,71,0.643
54,Plastic Hearts,Plastic Hearts,Miley Cyrus,77,0.551
55,WOW (feat. Sabrina Carpenter) - Remix,WOW (feat. Sabrina Carpenter) [Remix],Zara Larsson,71,0.702
56,We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,89,0.722
57,Good In Goodbye,Life Support,Madison Beer,67,0.658
58,Skin,Skin,Sabrina Carpenter,80,0.557
59,Lie Lie Lie,Lie Lie Lie,Joshua Bassett,70,0.617
60,Talk About Love (feat. Young Thug),Poster Girl,Zara Larsson,60,0.579
61,r u ok,r u ok,Tate McRae,74,0.666
62,Sweet Melody,Confetti,Little Mix,75,0.448
63,Bound 2,Yeezus,Kanye West,79,0.367
64,Time of Our Lives,Globalization,Pitbull,81,0.72
65,Sweater Weather,I Love You.,The Neighbourhood,89,0.612
66,Teenage Dream,Teenage Dream,Katy Perry,69,0.719
67,Someone To You,Someone To You,BANNERS,67,0.518
68,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,79,0.559
69,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,81,0.569
70,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,80,0.402
71,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,76,0.642
72,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,75,0.482
73,Anyone,Justice (Triple Chucks Deluxe),Justin Bieber,69,0.685
74,Lifetime,Justice (Triple Chucks Deluxe),Justin Bieber,76,0.48
75,test drive,Positions (Deluxe),Ariana Grande,77,0.698
76,Josslyn,Josslyn,Olivia O'Brien,74,0.425
77,WOW,Poster Girl,Zara Larsson,61,0.746
78,LazyBaby,LazyBaby,Dove Cameron,70,0.764
79,We Belong,We Belong,Dove Cameron,70,0.654
80,Bitter (feat. Trevor Daniel),Bitter (feat. Trevor Daniel),FLETCHER,66,0.689
81,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,90,0.713
82,Anyone,Justice,Justin Bieber,84,0.685
83,Treat Myself,Treat Myself,Victoria Justice,55,0.794
84,play w/ me,play w/ me,Bailey Bryan,62,0.735
85,My Way,READY,Ella Mai,68,0.812
86,Bad Girl,Bad Girl,Daya,70,0.682
87,Donuts (feat. Yung Bae),Donuts (feat. Yung Bae),kenzie,56,0.663
88,Motive Promiscuous Tok,Motive Promiscuous Tok,Jastefy,60,0.732
89,Vibe for Me (Bob for Me),Vibe for Me (Bob for Me),Aqyila,64,0.883
90,Fallin’ (Adrenaline),The Good Times and The Bad Ones,Why Don't We,69,0.606
91,Blue,Life Support,Madison Beer,70,0.64
92,Levitating,Future Nostalgia,Dua Lipa,83,0.695
93,Don't Need A Man,Don't Need A Man,Liv Grace Blue,62,0.603
94,Dancing With The Devil,Dancing With The Devil…The Art of Starting Over (Expanded Edition),Demi Lovato,64,0.413
95,Spaceman,Spaceman,Nick Jonas,72,0.548
96,Remember That Night?,Remember That Night?,Sara Kays,82,0.679
97,Fake,Fake,Lauv,75,0.703
98,I'm not Pretty,I'm not Pretty,JESSIA,79,0.71
99,Telling Myself,Joshua Bassett,Joshua Bassett,65,0.771
