,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Genesis,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,63,0.715,0.0244,0.572,0.0,0.26,-6.853,0.0745,113.02,4
1,Lost In Your Light (feat. Miguel),Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,52,0.646,0.000402,0.772,0.0,0.102,-3.826,0.0564,117.097,4
2,Hotter Than Hell,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,66,0.532,0.011,0.868,0.0,0.0584,-4.23,0.0908,110.127,4
3,Be the One,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,62,0.661,0.117,0.651,1.32e-05,0.056,-3.771,0.0499,87.46,4
4,IDGAF,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,80,0.836,0.0403,0.544,0.0,0.0824,-5.975,0.0943,97.028,4
5,Blow Your Mind (Mwah),Dua Lipa (Deluxe),Dua Lipa,2017-06-02,2,64,0.654,0.0188,0.796,0.0,0.0948,-4.761,0.122,108.854,4
6,Garden,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,51,0.46,0.00475,0.828,0.0,0.141,-4.005,0.148,151.548,4
7,No Goodbyes,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,63,0.678,0.00795,0.714,0.0,0.0827,-4.924,0.0408,109.021,4
8,Thinking 'Bout You,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,2,51,0.802,0.0856,0.481,0.0,0.152,-5.132,0.043,90.973,4
9,New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,81,0.762,0.00261,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4
10,Begging,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,50,0.683,0.024,0.794,0.0,0.302,-4.558,0.0533,105.941,4
11,Homesick,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,68,0.426,0.948,0.224,0.0,0.112,-8.683,0.0391,85.728,5
12,Dreams,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,50,0.728,0.0688,0.824,0.0,0.332,-4.581,0.07,105.001,4
13,Room for 2,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,48,0.536,0.396,0.488,1.44e-05,0.133,-5.752,0.0354,75.761,4
14,New Love,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,4,49,0.579,0.152,0.621,4.01e-06,0.0869,-8.625,0.0445,90.354,4
15,Bad Together,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,50,0.703,0.0076,0.628,0.0,0.471,-6.349,0.0284,103.983,4
16,Last Dance,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,3,62,0.589,0.0232,0.578,0.0,0.0984,-5.626,0.0454,135.77,4
17,Running,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,48,0.62,0.0178,0.694,0.0,0.19,-3.739,0.0311,98.002,4
18,Kiss and Make Up,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,75,0.678,0.0658,0.729,0.0,0.303,-4.188,0.137,99.895,4
19,One Kiss,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,0,0.797,0.0371,0.819,3.42e-05,0.0773,-4.351,0.12,124.022,4
20,Electricity,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,0,0.588,0.0104,0.67,3.33e-06,0.338,-6.439,0.0473,118.159,4
21,Scared to Be Lonely,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,0,0.568,0.0791,0.525,0.0,0.273,-7.789,0.0594,137.846,4
22,No Lie (feat. Dua Lipa),Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,3,0,0.74,0.0441,0.872,0.0,0.26,-3.482,0.12,102.019,4
23,Future Nostalgia,Future Nostalgia,Dua Lipa,2020-03-27,3,60,0.875,0.00618,0.813,0.0,0.321,-4.502,0.0579,114.993,4
24,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,3,63,0.793,0.0123,0.793,0.0,0.0951,-4.521,0.083,123.95,4
25,Cool,Future Nostalgia,Dua Lipa,2020-03-27,3,60,0.469,0.133,0.785,1.55e-06,0.0931,-4.015,0.0664,89.719,4
