,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Start,channel ORANGE,Frank Ocean,2012-07-10,45640,49,0.347,0.74,0.33,0.931,0.557,-19.761,0.149,82.85,5
1,Thinkin Bout You,channel ORANGE,Frank Ocean,2012-07-10,200746,72,0.721,0.409,0.339,0.00153,0.0973,-11.195,0.0532,129.83,4
2,Fertilizer,channel ORANGE,Frank Ocean,2012-07-10,39640,54,0.706,0.689,0.57,0.0698,0.288,-7.129,0.0841,115.864,4
3,Sierra Leone,channel ORANGE,Frank Ocean,2012-07-10,148760,58,0.529,0.166,0.608,0.0185,0.109,-7.809,0.0811,125.017,4
4,Sweet Life,channel ORANGE,Frank Ocean,2012-07-10,262680,61,0.479,0.227,0.558,0.0,0.0808,-6.074,0.179,83.465,4
5,Not Just Money,channel ORANGE,Frank Ocean,2012-07-10,59760,50,0.357,0.775,0.827,0.0213,0.493,-15.868,0.444,152.13,1
6,Super Rich Kids,channel ORANGE,Frank Ocean,2012-07-10,304760,69,0.739,0.219,0.419,0.0,0.196,-8.241,0.0854,60.493,4
7,Pilot Jones,channel ORANGE,Frank Ocean,2012-07-10,184080,57,0.394,0.485,0.433,7.81e-05,0.817,-13.473,0.374,118.988,1
8,Crack Rock,channel ORANGE,Frank Ocean,2012-07-10,224146,59,0.429,0.0696,0.736,0.0,0.0852,-8.017,0.222,89.262,4
9,Pyramids,channel ORANGE,Frank Ocean,2012-07-10,592920,64,0.4,0.0118,0.65,7.62e-05,0.791,-6.104,0.0466,107.989,4
10,Lost,channel ORANGE,Frank Ocean,2012-07-10,234093,71,0.913,0.0272,0.603,0.000503,0.167,-4.892,0.226,123.061,4
11,White,channel ORANGE,Frank Ocean,2012-07-10,76280,56,0.608,0.758,0.0664,0.945,0.0978,-18.857,0.0596,139.232,4
12,Monks,channel ORANGE,Frank Ocean,2012-07-10,200240,56,0.747,0.0521,0.758,0.0,0.214,-4.743,0.179,102.02,4
13,Bad Religion,channel ORANGE,Frank Ocean,2012-07-10,175453,61,0.359,0.738,0.367,1.43e-06,0.0736,-7.684,0.0335,83.331,4
14,Pink Matter,channel ORANGE,Frank Ocean,2012-07-10,268813,63,0.392,0.951,0.233,0.000322,0.106,-11.012,0.0587,176.569,3
15,Forrest Gump,channel ORANGE,Frank Ocean,2012-07-10,194840,64,0.701,0.0888,0.417,0.000648,0.375,-7.818,0.0329,95.003,4
