,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,2 Much,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,152796,70,0.583,0.593,0.444,0.0,0.353,-8.601,0.0456,119.59,4
1,Deserve You,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,187238,70,0.677,0.0314,0.633,0.0,0.112,-7.831,0.0771,89.934,4
2,As I Am (feat. Khalid),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,174406,72,0.595,0.127,0.543,0.0,0.0975,-8.149,0.038,99.928,4
3,Off My Face,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,156467,72,0.509,0.92,0.228,0.0,0.104,-8.68,0.0332,90.674,4
4,Holy (feat. Chance The Rapper),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,212093,69,0.67,0.2,0.693,0.0,0.0909,-8.34,0.35,87.017,4
5,Unstable (feat. The Kid LAROI),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,158324,70,0.495,0.737,0.333,0.0,0.112,-10.109,0.0288,99.757,4
6,MLK Interlude,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,104007,64,0.649,0.386,0.429,0.0,0.311,-8.428,0.468,100.389,3
7,Die For You (feat. Dominic Fike),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,198425,70,0.728,0.00196,0.629,1.94e-06,0.0847,-6.629,0.0318,135.031,4
8,Hold On,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,170813,71,0.658,0.0104,0.634,0.0,0.12,-6.068,0.0431,140.002,4
9,Somebody,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,179414,69,0.551,0.000284,0.756,9.48e-05,0.118,-7.679,0.045,75.991,4
10,Ghost,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,153190,72,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4
11,Peaches (feat. Daniel Caesar & Giveon),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,198081,74,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4
12,Love You Different (feat. BEAM),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,186695,70,0.759,0.0652,0.584,1.59e-06,0.16,-6.655,0.06,127.138,4
13,Loved By You (feat. Burna Boy),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,159250,70,0.79,0.0696,0.724,2.33e-06,0.113,-6.972,0.0852,101.04,4
14,Anyone,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,190779,69,0.685,0.185,0.521,3.59e-06,0.111,-8.285,0.0345,115.885,4
15,Lonely (with benny blanco),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,149189,67,0.619,0.9,0.241,0.0,0.116,-7.102,0.046,79.461,4
16,There She Go (feat. Lil Uzi Vert),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,215019,75,0.725,0.00945,0.716,0.0,0.119,-5.448,0.0349,150.074,4
17,I Can't Be Myself (feat. Jaden),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,193359,71,0.704,0.00197,0.659,3.36e-06,0.141,-5.959,0.0315,120.064,4
18,Lifetime,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,207020,76,0.48,0.771,0.274,0.0,0.114,-7.083,0.0317,179.637,3
19,Wish You Would (feat. Quavo),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,241391,70,0.628,0.0328,0.702,0.0,0.0811,-4.918,0.0327,139.968,4
20,Know No Better (feat. DaBaby),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,161819,70,0.67,0.615,0.441,0.0,0.0947,-7.803,0.104,131.92,4
