,name,album,artist,popularity,danceability
0,Bad,"Love, me",Lennon Stella,57,0.827
1,Bandaid,Bandaid,Two Friends,38,0.681
2,When We Were Young,When We Were Young,Lost Kings,64,0.547
3,Stacy,A Letter To My Younger Self,Quinn XCII,71,0.744
4,Never Seen The Rain,The Kids Are Coming,Tones And I,62,0.672
5,Cold Showers,Sleeping With Roses II,Chelsea Cutler,44,0.616
6,Phone Down,Phone Down,Lost Kings,57,0.599
7,3:15,COSMIC,Bazzi,68,0.651
8,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,78,0.815
9,you were good to me,brent,Jeremy Zucker,81,0.561
10,Tequila,Dan + Shay,Dan + Shay,73,0.489
11,La Di Da,"Love, me",Lennon Stella,68,0.689
12,Black And White,Heartbreak Weather,Niall Horan,78,0.443
13,Little Things (with Quinn XCII & Chelsea Cutler),Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,61,0.622
14,Paradise,Soul Searching,Bazzi,77,0.844
15,WESTWORLD,WESTWORLD,EVAN GIIA,61,0.713
16,Sunday Morning (feat. Josie Dunne),One in a Million,Matoma,57,0.629
17,Better Not (with Wafia),Kids At Play- EP,Louis The Child,70,0.783
18,Straightjacket,The Story of Us (Deluxe),Quinn XCII,42,0.838
19,Sad Tonight,How To Be Human,Chelsea Cutler,58,0.71
20,Kissing Other People,Three. Two. One.,Lennon Stella,66,0.691
21,Star,COSMIC,Bazzi,60,0.694
22,Infinity,Made In The A.M. (Deluxe Edition),One Direction,70,0.537
23,Still,Heartbreak Weather,Niall Horan,67,0.416
24,Love You More,Sleeping With Roses II,Chelsea Cutler,38,0.679
25,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,80,0.688
26,First Love,First Love,Lost Kings,55,0.619
27,Bad Religion,channel ORANGE,Frank Ocean,61,0.359
28,The Weekend - Funk Wav Remix,The Weekend (Funk Wav Remix),SZA,76,0.775
29,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,89,0.501
30,Weekend,Weekend,Louis The Child,60,0.684
31,Mercy,Brett Young,Brett Young,68,0.638
32,Strangers Again,How To Be Human,Chelsea Cutler,42,0.88
33,If I Could Fly,Made In The A.M. (Deluxe Edition),One Direction,74,0.565
34,Silhouette,Silhouettes,Aquilo,65,0.234
35,Sensations - Whethan Remix,Sensations (Whethan Remix),Elohim,54,0.699
36,Before You Go,Before You Go,Lewis Capaldi,82,0.459
37,18,FOUR (Deluxe),One Direction,79,0.681
38,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,85,0.464
39,Another Day in Paradise,Change of Scenery,Quinn XCII,13,0.652
40,Finest Hour (feat. Abir),Finest Hour (feat. Abir),Cash Cash,61,0.656
41,you broke me first,you broke me first,Tate McRae,90,0.667
42,Last To Leave (feat. Caroline Ailin),Last To Leave (feat. Caroline Ailin),Louis The Child,56,0.753
43,Jealous,Three. Two. One.,Lennon Stella,53,0.759
44,How To Love,Tha Carter IV (Deluxe),Lil Wayne,67,0.644
45,In Case You Didn't Know,Brett Young,Brett Young,75,0.607
46,You & Me - Flume Remix,Settle (The Remixes),Disclosure,67,0.593
47,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,74,0.681
48,The Nights,The Days / Nights,Avicii,85,0.527
49,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),Social House,79,0.769
50,Sober,Sober,Cheat Codes,49,0.518
51,Queen (feat. Quinn XCII),In the Shape of a Dream,ayokay,54,0.781
52,Jump (with Trippie Redd),Jump (with Trippie Redd),Julia Michaels,60,0.654
53,Peanut Butter Jelly,Pharmacy,Galantis,65,0.708
54,Ruin My Life,Ruin My Life,Zara Larsson,74,0.665
55,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),Boys Ain't Shit (feat. Tate McRae & Audrey Mika),SAYGRACE,66,0.801
56,Somebody Else,Somebody Else,VÉRITÉ,57,0.674
57,Tell Me You Love Me,The Aviary,Galantis,58,0.762
58,Waves,A Place We Knew,Dean Lewis,77,0.518
59,So Close,So Close (feat. Georgia Ku),NOTD,74,0.7
60,Post Malone (feat. RANI),Magnets EP,Sam Feldt,75,0.59
61,"fuck, i'm lonely (with Anne-Marie)",~how i'm feeling~,Lauv,76,0.806
62,Lucky,How To Be Human,Chelsea Cutler,63,0.774
63,Crashing (feat. Bahari),ASCEND,ILLENIUM,60,0.582
64,Happier,÷ (Deluxe),Ed Sheeran,82,0.522
65,Just Friends,Just Friends,Hayden James,60,0.639
66,Love Me Less (feat. Quinn XCII),Love Me Less (feat. Quinn XCII),MAX,72,0.732
67,Anti-Everything,Paper Crowns (Deluxe),Lost Kings,59,0.734
68,Like It Is,Like It Is,Kygo,72,0.794
69,Nights,Blonde,Frank Ocean,78,0.466
70,Say It (feat. Tove Lo),Skin,Flume,61,0.598
71,What I Need (feat. Kehlani),Expectations,Hayley Kiyoko,61,0.633
