,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241591,81,0.569,0.0122,0.741,0.0,0.333,-4.963,0.0282,100.118,4
1,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,294419,80,0.559,0.116,0.646,0.0,0.32,-4.61,0.0272,95.466,4
2,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,235766,80,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,4
3,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,254254,79,0.788,0.106,0.571,0.0,0.0934,-6.135,0.0296,115.99,4
4,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,234515,79,0.423,0.369,0.517,0.0,0.177,-7.377,0.0486,185.262,4
5,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,231124,81,0.632,0.0623,0.773,0.0,0.0885,-4.856,0.0346,130.033,4
6,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263377,78,0.506,0.156,0.626,0.0,0.228,-6.066,0.0287,148.035,4
7,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,200575,77,0.578,0.0222,0.909,0.0,0.333,-3.669,0.0628,100.023,4
8,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,261842,77,0.506,0.0538,0.444,0.0,0.123,-4.99,0.0285,133.873,4
9,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,80,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,4
10,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,225328,78,0.598,0.0231,0.821,0.0,0.143,-4.433,0.0447,128.03,4
11,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,245290,76,0.642,0.488,0.576,0.0,0.159,-8.524,0.0282,125.0,4
12,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,279359,76,0.499,0.000191,0.815,0.0,0.181,-4.063,0.0341,95.999,4
13,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237580,76,0.572,0.0474,0.69,0.0,0.0897,-6.201,0.0358,160.111,4
14,Untouchable (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,312107,76,0.393,0.0181,0.531,0.0,0.169,-6.112,0.0329,200.391,4
15,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,267833,76,0.546,0.819,0.273,0.0,0.137,-9.208,0.0308,118.753,4
16,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237338,75,0.476,0.0406,0.564,0.0,0.102,-5.677,0.0269,143.929,4
17,Superstar (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263865,74,0.454,0.157,0.555,0.0,0.343,-6.69,0.0283,171.862,4
18,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,238443,75,0.432,0.0279,0.873,0.0,0.167,-4.367,0.0577,163.936,4
19,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241822,76,0.482,0.0135,0.779,0.0,0.296,-5.025,0.0409,158.162,4
20,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,220839,76,0.599,0.816,0.494,0.0,0.101,-7.61,0.0372,142.893,4
21,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,277591,82,0.66,0.162,0.817,0.0,0.0667,-6.269,0.0521,135.942,4
22,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,244236,77,0.609,0.849,0.373,0.0,0.0779,-8.819,0.0263,106.007,4
23,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,189495,78,0.588,0.225,0.608,0.0,0.092,-7.062,0.0365,90.201,4
24,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,208608,77,0.563,0.514,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,4
25,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,242157,76,0.624,0.334,0.624,0.0,0.0995,-7.86,0.0539,80.132,4
26,the 1,folklore,Taylor Swift,2020-07-24,210251,77,0.777,0.757,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,4
27,cardigan,folklore,Taylor Swift,2020-07-24,239560,82,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
28,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,73,0.686,0.467,0.662,0.0023,0.109,-8.505,0.0413,147.922,4
29,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,80,0.298,0.778,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4
30,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,73,0.456,0.806,0.263,0.0,0.0749,-10.63,0.0332,129.86,4
31,mirrorball,folklore,Taylor Swift,2020-07-24,208977,72,0.553,0.687,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,4
32,seven,folklore,Taylor Swift,2020-07-24,208906,71,0.596,0.9,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,4
33,august,folklore,Taylor Swift,2020-07-24,261922,77,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4
34,this is me trying,folklore,Taylor Swift,2020-07-24,195097,72,0.515,0.314,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,4
35,illicit affairs,folklore,Taylor Swift,2020-07-24,190898,72,0.559,0.881,0.31,0.0,0.106,-10.445,0.0338,119.845,4
36,invisible string,folklore,Taylor Swift,2020-07-24,252880,73,0.653,0.838,0.452,7.73e-05,0.108,-11.143,0.055,83.433,4
37,mad woman,folklore,Taylor Swift,2020-07-24,237258,70,0.592,0.655,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,4
38,epiphany,folklore,Taylor Swift,2020-07-24,289749,69,0.354,0.731,0.267,0.000402,0.0858,-13.69,0.0281,94.219,4
39,betty,folklore,Taylor Swift,2020-07-24,294521,74,0.593,0.6,0.377,0.0,0.0976,-8.761,0.0253,95.939,4
40,peace,folklore,Taylor Swift,2020-07-24,234000,70,0.647,0.918,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,4
41,hoax,folklore,Taylor Swift,2020-07-24,220042,69,0.662,0.966,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,4
42,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,73,0.664,0.298,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,4
43,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,77,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4
44,Lover,Lover,Taylor Swift,2019-08-23,221306,79,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4
45,The Man,Lover,Taylor Swift,2019-08-23,190360,77,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,110.048,4
46,The Archer,Lover,Taylor Swift,2019-08-23,211240,69,0.292,0.12,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
47,I Think He Knows,Lover,Taylor Swift,2019-08-23,173386,70,0.897,0.00889,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4
48,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,234146,70,0.662,0.028,0.747,0.00615,0.138,-6.926,0.0736,150.088,4
49,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,74,0.811,0.0129,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,4
50,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,70,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,102.012,4
51,Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,198533,71,0.712,0.454,0.732,0.0,0.319,-6.754,0.0629,94.071,4
52,London Boy,Lover,Taylor Swift,2019-08-23,190240,70,0.695,0.0246,0.71,0.000104,0.133,-6.639,0.05,157.925,4
53,Soon You’ll Get Better (feat. The Chicks),Lover,Taylor Swift,2019-08-23,201586,66,0.433,0.907,0.182,0.0,0.123,-12.566,0.0641,207.476,4
54,False God,Lover,Taylor Swift,2019-08-23,200306,67,0.739,0.736,0.32,0.000147,0.111,-10.862,0.239,79.97,4
55,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,80,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
56,Afterglow,Lover,Taylor Swift,2019-08-23,223293,70,0.756,0.13,0.449,0.0,0.114,-8.746,0.0344,111.011,4
57,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,79,0.61,0.033,0.83,0.0,0.118,-4.105,0.0571,182.162,4
